name,maximum_age I,maximum_milk_production I,maximum_outside_presence I,minimum_age I,minimum_milk_production I,minimum_outside_presence I,quantity D,variant R(product_nature_variants)
calf,12,,,,,,25.0,calf
female_adult_cow,,,,36,,,67.0,female_adult_cow
female_adult_goat,,,,,,,10.0,female_adult_goat
female_adult_sheep,,,,,,,10.0,female_adult_sheep
female_young_adult_cow,,,,24,,,53.0,female_adult_cow
female_young_cow,24,,,12,,,42.0,female_young_cow
female_young_goat,,,,,,,5.0,female_young_goat
lamb,,,,,,,5.0,lamb
male_adult_cow,,,,24,,,72.0,male_adult_cow
male_adult_goat,,,,,,,10.0,male_adult_goat
male_adult_sheep,,,,,,,10.0,male_adult_sheep
male_young_cow,24,,,12,,,42.0,male_young_cow
male_young_goat,,,,,,,5.0,male_young_goat
milking_cow_outside_max_prod_max,,,,,8000,7,126.0,female_adult_cow
milking_cow_outside_max_prod_med,,8000,,,6000,7,115.0,female_adult_cow
milking_cow_outside_max_prod_min,,6000,,,,7,104.0,female_adult_cow
milking_cow_outside_med_prod_max,,,7,,8000,4,111.0,female_adult_cow
milking_cow_outside_med_prod_med,,8000,7,,6000,4,101.0,female_adult_cow
milking_cow_outside_med_prod_min,,6000,7,,,4,92.0,female_adult_cow
milking_cow_outside_min_prod_max,,,4,,8000,,91.0,female_adult_cow
milking_cow_outside_min_prod_med,,8000,4,,6000,,83.0,female_adult_cow
milking_cow_outside_min_prod_min,,6000,4,,,,75.0,female_adult_cow
