name,crop R(crop_sets),input_method,input_period_start,input_period_stop,keq D,variant R(product_nature_variants)
cattle_compost_on_grass_1,grass,on_top,09,03,0.15,cattle_compost
cattle_compost_on_grass_2,grass,on_top,03,07,0.0,cattle_compost
cattle_compost_on_spring_straw_cereal_1,spring_straw_cereal,,03,06,0.3,cattle_compost
cattle_compost_on_spring_straw_cereal_2,spring_straw_cereal,before_cipan,06,12,0.15,cattle_compost
cattle_manure_on_grass_1,grass,on_top,09,03,0.2,cattle_manure
cattle_manure_on_grass_2,grass,on_top,03,07,0.05,cattle_manure
cattle_manure_on_spring_straw_cereal_1,spring_straw_cereal,,03,06,0.3,cattle_manure
cattle_manure_on_spring_straw_cereal_2,spring_straw_cereal,,06,12,0.2,cattle_manure
cattle_slurry_on_autumn_crop,autumn_crop,,08,10,0.15,cattle_slurry
cattle_slurry_on_grass_1,grass,on_top,03,08,0.4,cattle_slurry
cattle_slurry_on_grass_2,grass,buried,03,06,0.5,cattle_slurry
cattle_slurry_on_spring_crop_1,spring_crop,,03,07,0.55,cattle_slurry
cattle_slurry_on_spring_crop_2,spring_crop,before_cipan,08,12,0.15,cattle_slurry
hen_compost_on_spring_straw_cereal_s1,spring_straw_cereal,,03,06,0.4,hen_compost
hen_compost_on_spring_straw_cereal_s2,spring_straw_cereal,before_cipan,06,12,0.15,hen_compost
hen_guano_on_rape,rape,,08,10,0.1,hen_guano
hen_guano_on_spring_straw_cereal,spring_straw_cereal,before_cipan,06,12,0.16,hen_guano
hen_guano_on_straw_cereal,straw_cereal,,03,06,0.7,hen_guano
hen_manure_on_rape,rape,,08,10,0.2,hen_manure
hen_manure_on_spring_straw_cereal,spring_straw_cereal,before_cipan,06,12,0.16,hen_manure
hen_manure_on_straw_cereal,straw_cereal,,03,06,0.55,hen_manure
mud_on_autumn_crop,autumn_crop,,08,10,0.01,mud
mud_on_spring_crop_1,spring_crop,,03,06,0.38,mud
mud_on_spring_crop_2,spring_crop,before_cipan,06,12,0.01,mud
pig_compost_on_grass_1,grass,on_top,09,03,0.2,pig_compost
pig_compost_on_grass_2,grass,on_top,03,07,0.2,pig_compost
pig_manure_on_grass_1,grass,on_top,09,03,0.4,pig_manure
pig_manure_on_grass_2,grass,on_top,03,07,0.4,pig_manure
pig_slurry_on_grass_1,grass,on_top,03,06,0.5,pig_slurry
pig_slurry_on_grass_2,grass,buried,03,06,0.6,pig_slurry
pig_slurry_on_grass_3,grass,on_top,08,10,0.3,pig_slurry
pig_slurry_on_rape,rape,,08,10,0.1,pig_slurry
pig_slurry_on_spring_straw_cereal,spring_straw_cereal,before_cipan,06,12,0.1,pig_slurry
pig_slurry_on_straw_cereal,straw_cereal,,03,06,0.75,pig_slurry
sugar_vinasse_on_spring_crop_1,spring_crop,before_cipan,06,10,0.15,sugar_vinasse
sugar_vinasse_on_spring_crop_2,spring_crop,,10,01,0.3,sugar_vinasse
sugar_vinasse_on_spring_crop_3,spring_crop,,03,07,0.6,sugar_vinasse
urban_compost_on_spring_crop,spring_crop,before_cipan,06,12,0.3,urban_compost
