name,maximum_available_water_capacity D,minimum_available_water_capacity D,rf D,soil_nature R(soil_natures)
aubues_max,200.0,120.0,20.0,aubues_soil
aubues_min,120.0,0.0,15.0,aubues_soil
black_valley_max,200.0,120.0,40.0,black_valley_soil
black_valley_med,120.0,80.0,30.0,black_valley_soil
champagne_max,200.0,120.0,20.0,champagne_soil
champagne_min,120.0,0.0,15.0,champagne_soil
clay_limestone_max,200.0,120.0,20.0,clay_limestone_soil
clay_limestone_min,120.0,0.0,15.0,clay_limestone_soil
flap_silt_max,200.0,120.0,30.0,flap_silt_soil
flap_silt_med,120.0,80.0,20.0,flap_silt_soil
flap_silt_min,80.0,0.0,15.0,flap_silt_soil
granite_arena_max,200.0,120.0,30.0,granite_arena_soil
granite_arena_med,120.0,80.0,20.0,granite_arena_soil
granite_arena_min,80.0,0.0,15.0,granite_arena_soil
hydromorph_sandy_clay_loam_med,120.0,80.0,20.0,hydromorph_sandy_clay_loam_soil
hydromorph_sandy_clay_loam_min,80.0,0.0,15.0,hydromorph_sandy_clay_loam_soil
red_chesnut_max,200.0,120.0,30.0,chesnut_red_soil
red_chesnut_med,120.0,80.0,20.0,chesnut_red_soil
red_chesnut_min,80.0,0.0,15.0,chesnut_red_soil
sand_max,200.0,120.0,15.0,sand_soil
sand_med,120.0,80.0,10.0,sand_soil
sand_min,80.0,0.0,5.0,sand_soil
silt_schist_max,200.0,120.0,30.0,silt_schist_soil
silt_schist_med,120.0,80.0,20.0,silt_schist_soil
silt_schist_min,80.0,0.0,15.0,silt_schist_soil
silty_clay_loam_max,200.0,120.0,30.0,silty_clay_loam_soil
silty_clay_loam_med,120.0,80.0,20.0,silty_clay_loam_soil
silty_clay_loam_min,80.0,0.0,15.0,silty_clay_loam_soil
silty_clay_max,200.0,120.0,30.0,silty_clay_soil
silty_clay_med,120.0,80.0,20.0,silty_clay_soil
silty_clay_min,80.0,0.0,15.0,silty_clay_soil
stony_alluvium_max,200.0,120.0,20.0,stony_alluvium_soil
stony_alluvium_med,120.0,80.0,15.0,stony_alluvium_soil
stony_alluvium_min,80.0,0.0,10.0,stony_alluvium_soil
touyas_max,200.0,120.0,20.0,touyas_soil
touyas_med,120.0,80.0,15.0,touyas_soil
touyas_min,80.0,0.0,10.0,touyas_soil
valley_terrace_max,200.0,120.0,30.0,valley_terrace_soil
valley_terrace_med,120.0,80.0,20.0,valley_terrace_soil
valley_terrace_min,80.0,0.0,15.0,valley_terrace_soil
